Device_Name,Start,End,Removed_Hours
设备28,2013-07-04 17:34:27,2013-08-15 06:34:27,998
设备29,2013-01-25 11:34:27,2013-02-20 04:34:27,618
设备29,2013-02-23 07:34:27,2013-03-13 17:34:27,443
设备29,2013-03-25 11:34:27,2013-04-18 12:34:27,578
设备29,2013-05-13 14:34:27,2013-06-06 08:34:27,571
设备29,2013-06-16 03:34:27,2013-08-22 08:34:27,1614
设备29,2013-08-22 15:34:27,2013-09-12 08:34:27,498
设备29,2013-09-12 12:34:27,2013-10-08 06:34:27,619
设备29,2013-12-20 17:34:27,2014-01-13 13:34:27,573
设备29,2014-01-29 12:34:27,2014-02-17 08:34:27,453
设备30,2013-01-28 18:34:27,2013-02-19 07:34:27,518
设备30,2013-03-14 08:34:27,2013-04-08 09:34:27,602
设备30,2013-04-18 14:34:27,2013-05-09 08:34:27,499
设备30,2013-06-17 12:34:27,2013-08-15 07:34:27,1412
设备30,2014-01-16 18:34:27,2014-02-10 14:34:27,597
设备31,2013-01-25 11:34:27,2013-02-13 20:34:27,466
设备31,2013-02-14 01:34:27,2013-03-13 18:34:27,666
设备31,2013-03-13 20:34:27,2013-04-02 13:34:27,474
设备31,2013-04-02 15:34:27,2013-04-18 12:34:27,382
设备31,2013-04-18 14:34:27,2013-05-13 10:34:27,597
设备31,2013-05-13 12:34:27,2013-06-06 08:34:27,573
设备31,2013-06-17 18:34:27,2013-08-15 20:34:27,1419
设备31,2013-09-02 09:34:27,2013-10-25 09:34:27,1273
设备31,2013-11-29 22:34:27,2013-12-17 08:34:27,419
设备32,2013-01-25 11:34:27,2013-02-26 14:34:27,772
设备32,2013-05-13 21:34:27,2013-06-06 08:34:27,564
设备32,2013-06-14 11:34:27,2013-08-16 07:34:27,1509
设备32,2013-08-23 15:34:27,2013-09-13 08:34:27,498
设备32,2013-09-13 10:34:27,2013-09-29 11:34:27,386
设备32,2013-12-21 01:34:27,2014-01-13 13:34:27,565
设备32,2014-01-16 18:34:27,2014-02-17 08:34:27,759
设备33,2013-01-25 11:34:27,2013-02-21 09:34:27,647
设备33,2013-02-21 11:34:27,2013-03-13 10:34:27,480
设备33,2013-03-28 08:34:27,2013-04-16 10:34:27,459
设备33,2013-05-22 18:34:27,2013-06-06 08:34:27,351
设备33,2013-06-14 11:34:27,2013-06-29 18:34:27,368
设备33,2013-06-29 21:34:27,2013-08-16 10:34:27,1142
设备33,2013-08-16 12:34:27,2013-09-05 10:34:27,479
设备33,2013-09-09 09:34:27,2013-10-14 21:34:27,853
设备33,2013-12-24 04:34:27,2014-01-13 13:34:27,490
设备34,2013-02-13 18:34:27,2013-03-22 20:34:27,891
设备34,2013-06-29 20:34:27,2013-08-21 14:34:27,1267
设备35,2013-01-29 10:34:27,2013-03-13 18:34:27,1041
设备35,2013-03-22 12:34:27,2013-04-18 12:34:27,649
设备35,2013-04-18 14:34:27,2013-05-13 10:34:27,597
设备35,2013-05-13 12:34:27,2013-06-06 08:34:27,573
设备35,2013-06-14 11:34:27,2013-06-29 18:34:27,368
设备35,2013-06-29 20:34:27,2013-08-20 15:34:27,1244
设备35,2013-09-28 21:34:27,2013-10-17 08:34:27,444
设备35,2013-10-30 12:34:27,2013-11-15 08:34:27,381
设备35,2013-12-18 17:34:27,2014-01-07 09:34:27,473
设备35,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备36,2013-01-29 12:34:27,2013-02-25 17:34:27,654
