device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备13,6,12,3776,66,457,3,458,10,ready
设备13,6,24,3704,66,433,3,434,8,ready
设备13,7,3,3841,74,467,6,475,4,ready
设备13,7,6,3829,73,453,4,469,4,ready
设备13,7,12,3805,72,429,4,457,3,ready
设备13,7,24,3757,70,381,4,433,3,ready
设备13,8,3,3841,77,478,1,467,6,ready
设备13,8,6,3829,76,475,1,453,4,ready
设备13,8,12,3805,74,469,1,429,4,ready
设备13,8,24,3757,72,457,1,381,4,ready
设备13,9,3,3832,78,476,5,478,1,ready
设备13,9,6,3812,76,470,4,475,1,ready
设备13,9,12,3776,74,458,4,469,1,ready
设备13,9,24,3704,72,434,4,457,1,ready
设备14,0,3,4551,163,567,11,568,37,ready
设备14,0,6,4539,163,564,11,565,36,ready
设备14,0,12,4515,163,558,11,559,36,ready
设备14,0,24,4467,161,546,11,547,36,ready
设备14,1,3,4557,190,559,10,567,11,ready
设备14,1,6,4551,188,547,10,564,11,ready
设备14,1,12,4539,186,523,10,558,11,ready
设备14,1,24,4515,185,485,10,546,11,ready
设备14,2,3,4557,186,567,15,559,10,ready
设备14,2,6,4551,185,564,14,547,10,ready
设备14,2,12,4539,185,558,12,523,10,ready
设备14,2,24,4515,185,546,11,485,10,ready
设备14,3,3,4549,152,567,44,567,15,ready
设备14,3,6,4534,149,564,44,564,14,ready
设备14,3,12,4504,149,558,44,558,12,ready
设备14,3,24,4454,147,546,44,546,11,ready
设备14,4,3,4548,127,568,40,567,44,ready
设备14,4,6,4533,125,565,38,564,44,ready
设备14,4,12,4503,125,559,38,558,44,ready
设备14,4,24,4443,123,547,36,546,44,ready
设备14,5,3,4548,146,567,25,568,40,ready
设备14,5,6,4533,145,564,24,565,38,ready
设备14,5,12,4503,145,558,24,559,38,ready
设备14,5,24,4443,143,546,24,547,36,ready
设备14,6,3,4548,177,568,9,567,25,ready
设备14,6,6,4533,176,565,9,564,24,ready
设备14,6,12,4503,174,559,9,558,24,ready
设备14,6,24,4443,172,547,9,546,24,ready
设备14,7,3,4548,192,567,10,568,9,ready
设备14,7,6,4533,191,564,10,565,9,ready
设备14,7,12,4503,191,558,8,559,9,ready
设备14,7,24,4443,189,546,8,547,9,ready
设备14,8,3,4552,191,567,10,567,10,ready
设备14,8,6,4540,190,564,10,564,10,ready
设备14,8,12,4516,190,558,10,558,8,ready
设备14,8,24,4468,188,546,10,546,8,ready
设备14,9,3,4551,164,568,37,567,10,ready
