Device_Name,Category,File_Path,Root_Path,Data_Path,Sparsity,Mean_Intensity,CV,Cluster,Label,Model,Window_Count,Level4_Positive_Windows,Level4_Total_Count,Input_SHA256
设备10,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备10/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备10,window_60_data2.csv,0.9976479811838495,0.002352018816150529,20.595306908775765,0,Sparse,PatchTST,10204,24,24.0,3bd7aba989b43178d8abf0f172aa2940f56b66cb5976a6578d5a58445c39b7ac
设备11,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备11/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备11,window_60_data2.csv,0.9976479811838495,0.002352018816150529,20.595306908775765,0,Sparse,PatchTST,10204,24,24.0,f53d90cdb3ec9d862012c2a45a7bc11007dcd842f994f2bad3c3c06eda6b02a1
设备12,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备12/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备12,window_60_data2.csv,0.9945119560956488,0.0055860446883575065,13.575671666184986,2,Intermittent,iTransformer,10204,56,57.0,4e7afc0bdb1967433e7a78f5e509359dad01f5137e2173f03d71b9c7532e6107
设备13,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备13/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备13,window_60_data2.csv,0.9945119560956488,0.005488043904351235,13.46158555721746,2,Intermittent,iTransformer,10204,56,56.0,8404c65b85dc27309ae833085f036117ea8698caf05fc2249611a9185240623b
设备14,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备14/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备14,window_60_data2.csv,0.9774598196785574,0.0473343786750294,7.506183983140882,2,Intermittent,iTransformer,10204,230,483.0,c3faf3e2d897a2a06731c409f5b3370ddfb34c3976f4d989c1069e4a76ea764e
设备15,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备15/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备15,window_60_data2.csv,0.998921991375931,0.0010780086240689925,30.440702416934524,0,Sparse,PatchTST,10204,11,11.0,e46e293944de1d9a5555da7b0f8d79e358667d3180ec71f42054aa1f334592cd
设备16,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备16/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备16,window_60_data2.csv,0.997451979615837,0.002548020384163073,19.785386992968785,0,Sparse,PatchTST,10204,26,26.0,e570a1dbb3c813a9530803990b283a473c116d088954f42e3c1a558efa26e4f1
设备17,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备17/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备17,window_60_data2.csv,0.9963739709917679,0.003626029008232066,16.57660350565772,0,Sparse,PatchTST,10204,37,37.0,52744e8fda13e37e0347ee0927d66c7f8281ec51d8eaa8d241bf1dcc7c30c678
设备18,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备18/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备18,window_60_data2.csv,0.9961779694237554,0.00382203057624461,16.14438062116431,0,Sparse,PatchTST,10204,39,39.0,e3ee538312324a03525813a7e7eb015a79aee45387bf00a1e5f5c9d308df53ba
设备19,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备19/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备19,window_60_data2.csv,0.9864758918071345,0.018718149745197962,9.857851842484957,2,Intermittent,iTransformer,10204,138,191.0,cb8e4bc48947aece609ea276a1d41b20caf6e530fc7c9fa155e2106f2f4f084a
设备20,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备20/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备20,window_60_data2.csv,0.9961779694237554,0.006664053312426499,18.6458062299649,0,Sparse,PatchTST,10204,39,68.0,1f4e95a8fd812d9fcee5328029f6d756238a40007552d0d50d268c378a6d861b
设备21,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备21/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备21,window_60_data2.csv,0.9977459819678557,0.0022540180321442573,21.03930069924006,0,Sparse,PatchTST,10204,23,23.0,8d9ad8a6f28d05e4542e16ce3348361fc7cd1b3e93270ab211c289cdbc87d6c9
设备23,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备23/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备23,window_60_data2.csv,0.9938259506076048,0.006174049392395139,12.687326509878035,2,Intermittent,iTransformer,10204,63,63.0,47b5cfb62c2fbcd1113b23544ff0d32fe32bde599e40a78e6dc3749f6e19fb55
设备24,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备24/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备24,window_60_data2.csv,0.9937279498235986,0.006272050176401411,12.587195875174105,2,Intermittent,iTransformer,10204,64,64.0,dbd3b0c54c0b3dd8a43487971d39a7c9f80216c4a9a53ad9ee5a0517489cba07
设备25,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备25/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备25,window_60_data2.csv,0.9937279498235986,0.0063700509604076834,12.681281924261581,2,Intermittent,iTransformer,10204,64,65.0,a8c53e4afcae9d7f1320b78f27ac16beb0b3f9fb8eff831accfc18762548eef7
设备26,S9300_S9306,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备26/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备26,window_60_data2.csv,0.9981379851038809,0.001862014896119169,23.152810446659547,0,Sparse,PatchTST,10204,19,19.0,503921c4e6c88d0183470b8dae520754f41fa2bb0a2a5a4edc1e62f3b5911ebe
设备27,S9300_S9306,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备27/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备27,window_60_data2.csv,0.9979419835358683,0.002058016464131713,22.020553169817557,0,Sparse,PatchTST,10204,21,21.0,ac927fee8b469207db40136fe7038562ed0099766ca469f6981df041069ee095
设备28,S9300_S9306,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备28/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备28,window_60_data2.csv,0.9980399843198745,0.001960015680125441,22.565460332109335,0,Sparse,PatchTST,10204,20,20.0,4b79a89c001a99cfb1bdc51a39102f472fd14efee4dde6efa550e57a4cb9ac8d
设备29,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备29/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备29,window_60_data2.csv,0.9979419835358683,0.002156017248137985,22.471837287466734,0,Sparse,PatchTST,10204,21,22.0,163acd73caf9acff3c1d108e2381c10e0486666ecd3451d7652d6d475f8d9399
设备30,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备30/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备30,window_60_data2.csv,0.9979419835358683,0.002058016464131713,22.020553169817557,0,Sparse,PatchTST,10204,21,21.0,9ecc59b337f218086aa66154a72b6761f299cde09fa6f29e227bc622fff9303d
设备31,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备31/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备31,window_60_data2.csv,0.9981379851038809,0.001862014896119169,23.152810446659547,0,Sparse,PatchTST,10204,19,19.0,6cc0837a13b4e629984bdae0e1e55a8c06ce5e1f7ab120134ee7a20ee27dbd3b
设备32,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备32/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备32,window_60_data2.csv,0.9979419835358683,0.002058016464131713,22.020553169817557,0,Sparse,PatchTST,10204,21,21.0,c148143594a86de23261edbdee2c25c2bd99dec255aea1d21c4900068228837e
