Device_Name,Category,File_Path,Window_Count,Level1_Sparsity,Level1_Mean_Intensity,Level1_CV,Level2_Sparsity,Level2_Mean_Intensity,Level2_CV,Level3_Sparsity,Level3_Mean_Intensity,Level3_CV,Level4_Sparsity,Level4_Mean_Intensity,Level4_CV,Routing_Sparsity,All_Levels_Zero_Ratio,Cluster,Label,Model,Previous_Label,Previous_Model,Model_Changed
设备42,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备42/window_60_data2.csv,10204,0.9263034104272834,0.12044296354370836,4.405541642733709,0.9997059976479812,0.00029400235201881614,58.31237718815221,0.8660329282634261,0.7818502548020384,2.571922648874748,0.9939239513916112,0.006174049392395139,12.88837085517714,0.9464915719325755,0.8034104272834183,1,Intermittent,iTransformer,Intermittent,iTransformer,False
设备43,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备43/window_60_data2.csv,10204,0.9924539396315171,0.0224421795374363,13.261739849144806,1.0,0.0,0.0,0.9837318698549589,0.0806546452371619,8.377493322919127,0.9970599764798118,0.0029400235201881616,18.415573119871485,0.993311446491572,0.9773618188945512,0,Sparse,PatchTST,Sparse,PatchTST,False
设备44,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备44/window_60_data2.csv,10204,0.9837318698549589,0.0273422187377499,9.226301463021537,1.0,0.0,0.0,0.9999019992159938,9.800078400627205e-05,101.0099005048515,0.9832418659349275,0.01675813406507252,7.659798601783407,0.99171893375147,0.974421795374363,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备45,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备45/window_60_data2.csv,10204,0.9895139161113289,0.028322226577812623,10.086990676025094,1.0,0.0,0.0,0.9999019992159938,9.800078400627205e-05,101.0099005048515,0.9832418659349275,0.01675813406507252,7.659798601783407,0.9931644453155625,0.9796158369266954,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备46,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备46/window_60_data2.csv,10204,0.8445707565660525,0.46932575460603687,2.5872729153953613,0.9918659349274794,0.011662093296746374,12.231077281470018,0.972265778126225,0.15650725205801647,6.056792101991316,0.9961779694237554,0.00382203057624461,16.14438062116431,0.9512201097608781,0.8196785574284594,0,Sparse,PatchTST,Sparse,PatchTST,False
设备47,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备47/window_60_data2.csv,10204,0.8995491963935711,0.3182085456683654,3.981593573822135,0.9988239905919247,0.0011760094080752645,29.143323992525865,0.999607996863975,0.0004900039200313603,53.44267957353935,0.9977459819678557,0.0022540180321442573,21.03930069924006,0.9739317914543316,0.8979811838494708,0,Sparse,PatchTST,Sparse,PatchTST,False
设备48,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备48/window_60_data2.csv,10204,0.9983339866718933,0.0031360250882007056,26.76693389239791,1.0,0.0,0.0,0.9997059976479812,0.00029400235201881614,58.31237718815221,0.9977459819678557,0.0022540180321442573,21.03930069924006,0.9989464915719325,0.9965699725597805,0,Sparse,PatchTST,Sparse,PatchTST,False
设备49,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备49/window_60_data2.csv,10204,0.9952959623676989,0.004900039200313603,14.812373206208383,0.9997059976479812,0.0003920031360250882,61.8506265125908,0.9995099960799686,0.0004900039200313603,45.164145071062734,0.9844178753430027,0.020188161505292044,9.481162893167053,0.9947324578596628,0.9827518620148962,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备50,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备50/window_60_data2.csv,10204,0.9515876127009016,0.14817718541748334,5.761827327594887,0.9991179929439435,0.0008820070560564484,33.65676422025412,0.9968639749117993,0.004508036064288515,19.368528250191076,0.9878479027832223,0.014994119952959623,10.071577317231377,0.9838543708349666,0.9409055272442179,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备51,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备51/window_60_data2.csv,10204,0.9756958055664445,0.078890631125049,7.082354726112942,0.9999019992159938,9.800078400627205e-05,101.00990050485153,0.9772638181105449,0.12416699333594669,6.792154098354152,0.9878479027832223,0.014994119952959623,10.11476500472743,0.9851773814190513,0.9458055664445315,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备52,NE20E-8,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备52/window_60_data.csv,10204,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9738337906703254,0.04645237161897295,8.894645872899842,0.9934584476675814,0.9738337906703254,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备53,NE20E-8,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备53/window_60_data.csv,10204,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.980203841630733,0.024108192865542926,7.682935432524111,0.9950509604076833,0.980203841630733,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备54,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备54/window_60_data2.csv,10204,0.9710897687181498,0.07144257154057232,6.806580906521063,0.9960799686397491,0.005880047040376323,18.261008856151523,1.0,0.0,0.0,0.9808898471187769,0.020188161505292044,7.36918786411398,0.9870148961191689,0.963249705997648,0,Sparse,PatchTST,Intermittent,iTransformer,True
设备55,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备55/window_60_data2.csv,10204,0.9836338690709525,0.029106232849862797,8.207725951568937,1.0,0.0,0.0,1.0,0.0,0.0,0.9807918463347707,0.02048216385731086,7.404798972558046,0.9911064288514307,0.9726577812622501,0,Sparse,PatchTST,Intermittent,iTransformer,True
