Device,Seq_Len,MSE,MAE,Model
设备50,24,0.008243379325751974,0.018067925250842026,XGBoost
设备30,3,0.0020179318309396814,0.0038266622941983915,XGBoost
设备30,6,0.002013757625971477,0.003727946278077605,XGBoost
设备30,12,0.0020355489306529053,0.0038897452341340568,XGBoost
设备30,24,0.002151399052538599,0.003952237865523928,XGBoost
设备74,3,0.020258125197621043,0.03145405444161878,XGBoost
设备74,6,0.021281632775231214,0.03234494608123878,XGBoost
设备74,12,0.0238024862549801,0.033656633889294386,XGBoost
设备74,24,0.022331490495659,0.03130835521744824,XGBoost
设备56,3,0.0005258980378263299,0.0012457950455880377,XGBoost
设备56,6,0.0005501408245550509,0.0012899356990351853,XGBoost
设备56,12,0.0015129811468212648,0.002166930047000766,XGBoost
设备56,24,0.0014996119147982932,0.00202291696200027,XGBoost
设备29,3,0.0020084897573516987,0.003991844909405268,XGBoost
设备29,6,0.0020094273474429293,0.004003169093402011,XGBoost
设备29,12,0.002012189438462558,0.003913573998888902,XGBoost
设备29,24,0.002040709903826758,0.003937549191853672,XGBoost
设备43,3,0.006148541331053663,0.008335121721919081,XGBoost
设备43,6,0.006229351346919323,0.008449447617064888,XGBoost
设备43,12,0.006239452188712707,0.008718089412147835,XGBoost
设备43,24,0.006610943284740251,0.009093278113119982,XGBoost
设备78,3,0.0014947428874533457,0.007129508945274147,XGBoost
设备78,6,0.001510388331767633,0.0066925008773265,XGBoost
设备78,12,0.0015006491233961242,0.006342258649778175,XGBoost
设备78,24,0.0014983435119209035,0.005227988700758417,XGBoost
设备40,3,0.0048887568245337635,0.006722809170488686,XGBoost
设备40,6,0.004888655258622073,0.006493855106322478,XGBoost
设备40,12,0.004911629752044805,0.006692670827926525,XGBoost
设备40,24,0.00702627833110347,0.008768650114765915,XGBoost
设备0,3,0.07507300875425463,0.06638070235885807,XGBoost
设备0,6,0.07690266745906284,0.0658681613959226,XGBoost
设备0,12,0.08067560675050599,0.06672412799072944,XGBoost
设备0,24,0.08648100879183071,0.0645230749314596,XGBoost
设备63,3,0.0022207633052795826,0.0061209012495535425,XGBoost
设备63,6,0.002038407904110134,0.005328672010720908,XGBoost
设备63,12,0.0021556494721416334,0.005233639828831528,XGBoost
