device,seq_len,split,rows,target_start,target_end,windows,gap_rejected,positive,negative
设备2,24,test,8743,6995,8743,1724,24,45,1679
设备30,3,train,6576,0,4603,4588,12,371,4217
设备30,3,val,6576,4603,5261,658,0,30,628
设备30,3,test,6576,5261,6576,1312,3,17,1295
设备30,6,train,6576,0,4603,4573,24,370,4203
设备30,6,val,6576,4603,5261,658,0,30,628
设备30,6,test,6576,5261,6576,1309,6,17,1292
设备30,12,train,6576,0,4603,4543,48,370,4173
设备30,12,val,6576,4603,5261,658,0,30,628
设备30,12,test,6576,5261,6576,1303,12,17,1286
设备30,24,train,6576,0,4603,4483,96,370,4113
设备30,24,val,6576,4603,5261,658,0,30,628
设备30,24,test,6576,5261,6576,1291,24,17,1274
设备31,3,train,3935,0,2754,2732,19,31,2701
设备31,3,val,3935,2754,3148,394,0,4,390
设备31,3,test,3935,3148,3935,787,0,10,777
设备31,6,train,3935,0,2754,2716,32,30,2686
设备31,6,val,3935,2754,3148,394,0,4,390
设备31,6,test,3935,3148,3935,787,0,10,777
设备31,12,train,3935,0,2754,2686,56,29,2657
设备31,12,val,3935,2754,3148,394,0,4,390
设备31,12,test,3935,3148,3935,787,0,10,777
设备31,24,train,3935,0,2754,2626,104,28,2598
设备31,24,val,3935,2754,3148,394,0,4,390
设备31,24,test,3935,3148,3935,787,0,10,777
设备32,3,train,5151,0,3605,3589,13,120,3469
设备32,3,val,5151,3605,4121,516,0,20,496
设备32,3,test,5151,4121,5151,1024,6,15,1009
设备32,6,train,5151,0,3605,3574,25,120,3454
设备32,6,val,5151,3605,4121,516,0,20,496
设备32,6,test,5151,4121,5151,1018,12,15,1003
设备32,12,train,5151,0,3605,3544,49,118,3426
设备32,12,val,5151,3605,4121,516,0,20,496
设备32,12,test,5151,4121,5151,1006,24,15,991
设备32,24,train,5151,0,3605,3484,97,118,3366
设备32,24,val,5151,3605,4121,516,0,20,496
设备32,24,test,5151,4121,5151,982,48,15,967
设备33,3,train,4935,0,3454,3432,19,55,3377
设备33,3,val,4935,3454,3948,491,3,4,487
设备33,3,test,4935,3948,4935,987,0,12,975
设备33,6,train,4935,0,3454,3414,34,55,3359
设备33,6,val,4935,3454,3948,488,6,4,484
设备33,6,test,4935,3948,4935,987,0,12,975
设备33,12,train,4935,0,3454,3378,64,52,3326
设备33,12,val,4935,3454,3948,482,12,4,478
设备33,12,test,4935,3948,4935,987,0,12,975
设备33,24,train,4935,0,3454,3306,124,46,3260
设备33,24,val,4935,3454,3948,470,24,4,466
设备33,24,test,4935,3948,4935,987,0,12,975
设备34,3,train,8046,0,5632,5623,6,79,5544
设备34,3,val,8046,5632,6437,805,0,10,795
设备34,3,test,8046,6437,8046,1609,0,14,1595
设备34,6,train,8046,0,5632,5614,12,79,5535
设备34,6,val,8046,5632,6437,805,0,10,795
设备34,6,test,8046,6437,8046,1609,0,14,1595
设备34,12,train,8046,0,5632,5596,24,79,5517
设备34,12,val,8046,5632,6437,805,0,10,795
设备34,12,test,8046,6437,8046,1609,0,14,1595
设备34,24,train,8046,0,5632,5560,48,78,5482
设备34,24,val,8046,5632,6437,805,0,10,795
设备34,24,test,8046,6437,8046,1609,0,14,1595
设备35,3,train,3672,0,2570,2549,18,52,2497
设备35,3,val,3672,2570,2938,365,3,3,362
设备35,3,test,3672,2938,3672,731,3,3,728
设备35,6,train,3672,0,2570,2531,33,52,2479
设备35,6,val,3672,2570,2938,362,6,3,359
设备35,6,test,3672,2938,3672,728,6,3,725
设备35,12,train,3672,0,2570,2495,63,51,2444
设备35,12,val,3672,2570,2938,356,12,3,353
设备35,12,test,3672,2938,3672,722,12,3,719
设备35,24,train,3672,0,2570,2423,123,51,2372
设备35,24,val,3672,2570,2938,350,18,3,347
设备35,24,test,3672,2938,3672,704,30,3,701
设备36,3,train,5755,0,4028,4010,15,2312,1698
设备36,3,val,5755,4028,4604,576,0,285,291
设备36,3,test,5755,4604,5755,1148,3,227,921
设备36,6,train,5755,0,4028,3997,25,2310,1687
设备36,6,val,5755,4028,4604,576,0,285,291
设备36,6,test,5755,4604,5755,1145,6,227,918
设备36,12,train,5755,0,4028,3973,43,2309,1664
设备36,12,val,5755,4028,4604,576,0,285,291
设备36,12,test,5755,4604,5755,1139,12,227,912
设备36,24,train,5755,0,4028,3925,79,2308,1617
设备36,24,val,5755,4028,4604,576,0,285,291
设备36,24,test,5755,4604,5755,1127,24,227,900
设备37,3,train,6155,0,4308,4287,18,125,4162
设备37,3,val,6155,4308,4924,616,0,26,590
设备37,3,test,6155,4924,6155,1231,0,561,670
设备37,6,train,6155,0,4308,4266,36,123,4143
设备37,6,val,6155,4308,4924,616,0,26,590
设备37,6,test,6155,4924,6155,1231,0,561,670
设备37,12,train,6155,0,4308,4230,66,121,4109
设备37,12,val,6155,4308,4924,616,0,26,590
设备37,12,test,6155,4924,6155,1231,0,561,670
设备37,24,train,6155,0,4308,4158,126,121,4037
设备37,24,val,6155,4308,4924,616,0,26,590
设备37,24,test,6155,4924,6155,1231,0,561,670
设备38,3,train,2332,0,1632,1620,9,34,1586
设备38,3,val,2332,1632,1866,234,0,4,230
设备38,3,test,2332,1866,2332,463,3,3,460
设备38,6,train,2332,0,1632,1608,18,34,1574
设备38,6,val,2332,1632,1866,234,0,4,230
设备38,6,test,2332,1866,2332,460,6,3,457
设备38,12,train,2332,0,1632,1584,36,34,1550
设备38,12,val,2332,1632,1866,234,0,4,230
设备38,12,test,2332,1866,2332,454,12,3,451
设备38,24,train,2332,0,1632,1536,72,34,1502
设备38,24,val,2332,1632,1866,234,0,4,230
设备38,24,test,2332,1866,2332,442,24,3,439
设备39,3,train,3466,0,2426,2422,1,2141,281
设备39,3,val,3466,2426,2773,347,0,124,223
设备39,3,test,3466,2773,3466,690,3,5,685
设备39,6,train,3466,0,2426,2419,1,2141,278
设备39,6,val,3466,2426,2773,347,0,124,223
